sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
File Folders SKU 21,2/16/22,17.99,2,36,9,13,5,0,9,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2/17/22,17.99,1,18,4,7,3,0,4,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2/18/22,17.99,1,18,4,7,3,0,4,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2/20/22,17.99,1,18,4,7,3,0,4,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2/21/22,17.99,1,18,4,7,3,0,4,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/22/22,17.99,6,108,27,40,16,0,25,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/23/22,17.99,3,54,13,20,8,0,13,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/24/22,18.29,4,73,18,26,11,0,18,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/25/22,17.99,11,198,49,73,30,0,46,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/26/22,17.99,5,90,22,33,14,0,21,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/27/22,18.49,3,55,13,20,8,0,14,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2/28/22,17.99,1,18,4,7,3,0,4,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/1/22,17.99,4,72,18,26,11,0,17,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/2/22,17.99,3,54,13,20,8,0,13,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/3/22,17.99,3,54,13,20,8,0,13,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/4/22,17.99,1,18,4,7,3,0,4,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/5/22,17.99,2,36,9,13,5,0,9,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/7/22,17.99,9,162,40,59,24,0,39,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/8/22,17.99,16,288,71,106,43,0,68,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/9/22,17.99,11,198,49,73,30,0,46,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/10/22,17.99,12,216,53,79,32,8,44,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/11/22,17.99,9,162,40,59,24,13,26,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/12/22,17.99,7,126,31,46,19,1,29,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/13/22,17.99,4,72,18,26,11,2,15,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,3/14/22,17.99,4,72,18,26,11,5,12,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/15/22,17.99,6,108,27,40,16,4,21,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/16/22,17.99,8,144,36,53,22,5,28,24.98,,,,,24.98,24.98,,14.99,23.99
